B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,CDOM Proxy (B3/B4),NDCI,NSMI,B4/B3,B4/B2,B4/B1,GCE_Salinity,GCE_Temperature(C)
568,665,766,619,619,387,385,357,321,280,252,220,-0.268442623,1.237479806,0,0.351219512,0.808093995,0.930827068,1.089788732,33.59,30.15
508,536,648,508,517,251,237,186,160,125,35,25,-0.463976945,1.275590551,0.008780488,0.36643026,0.783950617,0.947761194,1,32.75,29.18
567,512,631,497,502,240,228,178,153,97,33,23,-0.472592593,1.269617706,0.005005005,0.375609756,0.787638669,0.970703125,0.87654321,32.75,29.18
519,588,647,450,440,301,296,247,235,302,164,137,-0.291248207,1.437777778,-0.011235955,0.302077151,0.695517774,0.765306122,0.867052023,32.15,30.83
383,483,581,449,459,219,225,187,165,88,106,92,-0.411949686,1.293986637,0.011013216,0.361533377,0.772805508,0.929606625,1.17232376,32.2,29.41
505,551,690,562,547,262,264,222,177,179,49,43,-0.433673469,1.227758007,-0.013525699,0.38879645,0.814492754,1.019963702,1.112871287,32.01,26.78
544,526,670,549,532,250,252,213,169,172,46,41,-0.440944882,1.220400729,-0.015726179,0.39713467,0.819402985,1.043726236,1.009191176,32.01,26.78
549,630,805,643,677,334,330,285,229,191,109,101,-0.385775862,1.251944012,0.025757576,0.393647738,0.798757764,1.020634921,1.171220401,32.46,28.28
958,697,827,759,806,641,673,412,647,1220,476,584,-0.296327925,1.089591568,0.030031949,0.389399912,0.917775091,1.088952654,0.792275574,32.57,25.89
351,372,477,279,259,144,138,138,116,194,48,45,-0.338129496,1.709677419,-0.037174721,0.340425532,0.58490566,0.75,0.794871795,32.67,27.24
396,362,469,277,256,144,138,137,117,181,48,44,-0.338164251,1.693140794,-0.039399625,0.346570397,0.590618337,0.76519337,0.699494949,32.67,27.24
402,525,644,493,492,208,213,178,132,52,49,41,-0.469448584,1.306288032,-0.001015228,0.368231047,0.76552795,0.939047619,1.226368159,32.7,24.42
450,523,639,492,487,208,214,183,137,56,49,41,-0.457777778,1.298780488,-0.005107252,0.367593712,0.769953052,0.940726577,1.093333333,32.7,24.42
308,335,363,189,172,79,83,50,57,1,26,10,-0.581589958,1.920634921,-0.047091413,0.24464487,0.520661157,0.564179104,0.613636364,32.99,24.7
344,478,592,440,382,134,140,122,78,1,8,10,-0.565836299,1.345454545,-0.070559611,0.366887417,0.743243243,0.920502092,1.279069767,32.07,17.85
354,451,571,425,374,129,135,117,74,1,7,10,-0.568265683,1.343529412,-0.063829787,0.376641327,0.744308231,0.942350333,1.200564972,32.07,17.85
370,492,596,428,355,135,124,116,79,2,12,13,-0.573529412,1.392523364,-0.093231162,0.350923483,0.718120805,0.869918699,1.156756757,30.75,14.22
